arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
english	0	1	RUNTIME_FAIL	0.000000	False	0.028155	0.069750	5.8395
english	0	2	RUNTIME_FAIL	0.000000	False	0.029385	0.066810	5.9357
english	0	3	RUNTIME_FAIL	0.000000	False	0.028680	0.064500	6.0289
english	0	4	RUNTIME_FAIL	0.000000	False	0.028725	0.066765	6.1244
english	0	5	RUNTIME_FAIL	0.000000	False	0.032340	0.061230	6.2180
english	1	1	RUNTIME_FAIL	0.000000	False	0.028380	0.065970	6.3123
english	1	2	RUNTIME_FAIL	0.000000	False	0.029235	0.085155	6.4267
english	1	3	RUNTIME_FAIL	0.000000	False	0.027855	0.061035	6.5156
english	1	4	RUNTIME_FAIL	0.000000	False	0.029850	0.079890	6.6254
english	1	5	RUNTIME_FAIL	0.000000	False	0.031215	0.073980	6.7305
english	2	1	RUNTIME_FAIL	0.000000	False	0.026880	0.065520	6.8229
english	2	2	RUNTIME_FAIL	0.000000	False	0.031860	0.065280	6.9201
english	2	3	RUNTIME_FAIL	0.000000	False	0.028755	0.062190	7.0110
english	2	4	RUNTIME_FAIL	0.000000	False	0.028050	0.072705	7.1118
english	2	5	RUNTIME_FAIL	0.000000	False	0.033315	0.064425	7.2095
english	3	1	RUNTIME_FAIL	0.000000	False	0.027255	0.068295	7.3051
english	3	2	RUNTIME_FAIL	0.000000	False	0.026460	0.081225	7.4128
english	3	3	RUNTIME_FAIL	0.000000	False	0.026505	0.088890	7.5282
english	3	4	RUNTIME_FAIL	0.000000	False	0.033450	0.071910	7.6335
english	3	5	RUNTIME_FAIL	0.000000	False	0.031365	0.075360	7.7402
